InvoiceNumber,SupplierID,InvoiceDate,InvoiceAmount,DueDate,PaymentDate,PaymentAmount,PaymentTerms,InvoiceStatus,DaysToPay
INV00650,SUP085,2024-10-11,2393,2024-11-22,2024-11-25,2393,Net 30,Paid,45
INV00094,SUP003,2023-04-04,5818,2023-05-22,2023-05-31,5818,Net 30,Paid,57
INV00691,SUP100,2024-11-21,8627,2025-01-02,2025-01-10,8627,Net 60,Paid,50
INV00349,SUP055,2023-12-15,2568,2024-02-09,2024-02-10,2568,Net 60,Paid,57
INV00681,SUP090,2024-11-11,4744,2024-12-23,2024-12-30,4744,Net 45,Paid,49
INV00387,SUP050,2024-01-22,4952,2024-03-08,2024-03-08,4952,Net 60,Pending,46
INV00964,SUP043,2025-08-21,3919,2025-10-08,2025-10-13,3919,Net 45,Paid,53
INV00568,SUP001,2024-07-21,4386,2024-08-22,2024-08-31,4386,Net 45,Paid,41
INV00584,SUP039,2024-08-06,1414,2024-09-07,2024-09-11,1414,Net 60,Paid,36
INV00352,SUP062,2023-12-18,4695,2024-02-14,2024-02-23,4695,Net 45,Paid,67
INV00723,SUP073,2024-12-23,337,2025-02-14,2025-02-18,337,Net 60,Paid,57
INV00761,SUP084,2025-01-30,6576,2025-03-29,2025-04-04,6576,Net 30,Pending,64
INV00056,SUP002,2023-02-25,7755,2023-04-23,2023-04-24,7755,Net 30,Pending,58
INV00354,SUP080,2023-12-20,6202,2024-01-28,2024-02-02,6202,Net 45,Pending,44
INV00092,SUP087,2023-04-02,9887,2023-05-02,2023-05-06,9887,Net 60,Pending,34
INV00840,SUP065,2025-04-19,8634,2025-06-07,2025-06-15,8634,Net 45,Paid,57
INV00284,SUP075,2023-10-11,425,2023-12-08,2023-12-14,425,Net 30,Paid,64
INV00590,SUP082,2024-08-12,333,2024-10-05,2024-10-07,333,Net 30,Paid,56
INV00893,SUP004,2025-06-11,8767,2025-07-11,2025-07-19,8767,Net 60,Pending,38
INV00896,SUP078,2025-06-14,2835,2025-07-14,2025-07-15,2835,Net 30,Pending,31
INV00742,SUP047,2025-01-11,6290,2025-02-24,2025-03-01,6290,Net 45,Paid,49
INV00472,SUP081,2024-04-16,5945,2024-06-08,2024-06-09,5945,Net 30,Paid,54
INV00389,SUP058,2024-01-24,1030,2024-03-19,2024-03-23,1030,Net 45,Paid,59
INV00395,SUP032,2024-01-30,3038,2024-03-14,2024-03-20,3038,Net 30,Pending,50
INV00279,SUP027,2023-10-06,1893,2023-11-23,2023-11-26,1893,Net 60,Pending,51
INV00154,SUP079,2023-06-03,6976,2023-07-22,2023-07-26,6976,Net 60,Paid,53
INV00499,SUP089,2024-05-13,928,2024-06-25,2024-06-29,928,Net 60,Paid,47
INV00417,SUP036,2024-02-21,3706,2024-04-14,2024-04-15,3706,Net 30,Pending,54
INV00525,SUP028,2024-06-08,8060,2024-07-14,2024-07-21,8060,Net 45,Pending,43
INV00487,SUP038,2024-05-01,5273,2024-06-13,2024-06-21,5273,Net 30,Paid,51
INV00818,SUP072,2025-03-28,6571,2025-05-10,2025-05-10,6571,Net 30,Paid,43
INV00208,SUP095,2023-07-27,859,2023-09-08,2023-09-12,859,Net 45,Pending,47
INV00353,SUP007,2023-12-19,9363,2024-02-03,2024-02-05,9363,Net 45,Paid,48
INV00916,SUP071,2025-07-04,800,2025-08-25,2025-08-30,800,Net 60,Pending,57
INV00983,SUP006,2025-09-09,1027,2025-10-13,2025-10-21,1027,Net 45,Pending,42
INV00451,SUP095,2024-03-26,5587,2024-04-26,2024-04-26,5587,Net 45,Paid,31
INV00226,SUP049,2023-08-14,8355,2023-09-16,2023-09-20,8355,Net 30,Pending,37
INV00598,SUP013,2024-08-20,9642,2024-09-23,2024-09-30,9642,Net 45,Paid,41
INV00561,SUP049,2024-07-14,3341,2024-08-22,2024-08-30,3341,Net 45,Paid,47
INV00015,SUP051,2023-01-15,5511,2023-02-22,2023-02-26,5511,Net 60,Pending,42
INV00776,SUP070,2025-02-14,502,2025-04-08,2025-04-12,502,Net 45,Paid,57
INV00749,SUP087,2025-01-18,866,2025-02-18,2025-02-23,866,Net 60,Pending,36
INV00823,SUP092,2025-04-02,6938,2025-05-30,2025-06-04,6938,Net 45,Paid,63
INV00670,SUP028,2024-10-31,3836,2024-12-29,2025-01-03,3836,Net 30,Paid,64
INV00909,SUP035,2025-06-27,9706,2025-08-21,2025-08-29,9706,Net 60,Paid,63
INV00729,SUP067,2024-12-29,6171,2025-02-25,2025-03-04,6171,Net 60,Pending,65
INV00136,SUP038,2023-05-16,7092,2023-07-09,2023-07-15,7092,Net 45,Pending,60
INV00842,SUP054,2025-04-21,1263,2025-05-29,2025-06-02,1263,Net 30,Paid,42
INV00955,SUP099,2025-08-12,2845,2025-09-21,2025-09-22,2845,Net 30,Paid,41
INV00539,SUP099,2024-06-22,7441,2024-07-23,2024-07-23,7441,Net 60,Paid,31
INV00876,SUP069,2025-05-25,6238,2025-07-17,2025-07-24,6238,Net 45,Pending,60
INV00693,SUP083,2024-11-23,8101,2025-01-07,2025-01-14,8101,Net 60,Pending,52
INV00122,SUP080,2023-05-02,6177,2023-06-18,2023-06-19,6177,Net 45,Paid,48
INV00484,SUP063,2024-04-28,1322,2024-06-13,2024-06-21,1322,Net 30,Paid,54
INV00067,SUP036,2023-03-08,7829,2023-04-28,2023-05-03,7829,Net 45,Pending,56
INV00805,SUP073,2025-03-15,1496,2025-04-25,2025-04-30,1496,Net 60,Pending,46
INV00585,SUP028,2024-08-07,1731,2024-10-02,2024-10-09,1731,Net 60,Paid,63
INV00702,SUP040,2024-12-02,4730,2025-01-28,2025-02-04,4730,Net 30,Paid,64
INV00902,SUP063,2025-06-20,6151,2025-08-08,2025-08-13,6151,Net 60,Pending,54
INV00006,SUP045,2023-01-06,6465,2023-03-01,2023-03-04,6465,Net 45,Paid,57
INV00035,SUP020,2023-02-04,1467,2023-04-01,2023-04-08,1467,Net 45,Pending,63
INV00482,SUP080,2024-04-26,3167,2024-05-26,2024-05-27,3167,Net 60,Pending,31
INV00533,SUP072,2024-06-16,9124,2024-08-05,2024-08-09,9124,Net 30,Paid,54
INV00266,SUP012,2023-09-23,5111,2023-11-04,2023-11-12,5111,Net 30,Pending,50
INV00898,SUP007,2025-06-16,9962,2025-07-28,2025-07-31,9962,Net 45,Pending,45
INV00477,SUP090,2024-04-21,928,2024-06-19,2024-06-21,928,Net 30,Pending,61
INV00403,SUP040,2024-02-07,8005,2024-04-03,2024-04-09,8005,Net 60,Pending,62
INV00295,SUP083,2023-10-22,7539,2023-12-12,2023-12-12,7539,Net 30,Pending,51
INV00666,SUP021,2024-10-27,6189,2024-12-05,2024-12-12,6189,Net 60,Pending,46
INV00513,SUP039,2024-05-27,5686,2024-07-06,2024-07-10,5686,Net 30,Paid,44
INV00053,SUP096,2023-02-22,3352,2023-04-03,2023-04-03,3352,Net 60,Pending,40
INV00933,SUP016,2025-07-21,3887,2025-08-27,2025-09-01,3887,Net 45,Pending,42
INV00197,SUP012,2023-07-16,8204,2023-08-17,2023-08-19,8204,Net 30,Pending,34
INV00543,SUP076,2024-06-26,1742,2024-08-11,2024-08-15,1742,Net 45,Paid,50
INV00684,SUP036,2024-11-14,7439,2024-12-30,2024-12-30,7439,Net 60,Pending,46
INV00265,SUP021,2023-09-22,9692,2023-10-31,2023-11-05,9692,Net 45,Pending,44
INV00119,SUP044,2023-04-29,4688,2023-06-20,2023-06-23,4688,Net 60,Paid,55
INV00179,SUP048,2023-06-28,4937,2023-08-01,2023-08-01,4937,Net 30,Paid,34
INV00701,SUP048,2024-12-01,4873,2025-01-27,2025-01-30,4873,Net 60,Paid,60
INV00846,SUP081,2025-04-25,205,2025-06-21,2025-06-27,205,Net 30,Pending,63
INV00167,SUP037,2023-06-16,3504,2023-08-05,2023-08-08,3504,Net 45,Pending,53
INV00351,SUP046,2023-12-17,8373,2024-02-01,2024-02-06,8373,Net 30,Pending,51
INV00786,SUP023,2025-02-24,5322,2025-04-13,2025-04-13,5322,Net 30,Pending,48
INV00897,SUP013,2025-06-15,8362,2025-07-23,2025-07-27,8362,Net 60,Paid,42
INV00055,SUP030,2023-02-24,4143,2023-04-20,2023-04-28,4143,Net 45,Pending,63
INV00085,SUP009,2023-03-26,2262,2023-05-07,2023-05-14,2262,Net 60,Paid,49
INV00730,SUP024,2024-12-30,4364,2025-02-09,2025-02-11,4364,Net 45,Pending,43
INV00952,SUP071,2025-08-09,2536,2025-10-05,2025-10-14,2536,Net 60,Pending,66
INV00134,SUP038,2023-05-14,7774,2023-06-20,2023-06-21,7774,Net 30,Pending,38
INV00399,SUP003,2024-02-03,9404,2024-03-22,2024-03-25,9404,Net 45,Pending,51
INV00680,SUP086,2024-11-10,5765,2024-12-11,2024-12-17,5765,Net 60,Paid,37
INV00529,SUP022,2024-06-12,4929,2024-07-19,2024-07-23,4929,Net 60,Pending,41
INV00098,SUP036,2023-04-08,3761,2023-05-29,2023-06-03,3761,Net 60,Paid,56
INV00570,SUP077,2024-07-23,6177,2024-08-27,2024-08-31,6177,Net 60,Pending,39
INV00196,SUP020,2023-07-15,2527,2023-08-25,2023-09-03,2527,Net 30,Paid,50
INV00394,SUP010,2024-01-29,6149,2024-03-12,2024-03-19,6149,Net 60,Pending,50
INV00379,SUP017,2024-01-14,4342,2024-03-09,2024-03-15,4342,Net 45,Paid,61
INV00068,SUP008,2023-03-09,9667,2023-05-05,2023-05-14,9667,Net 60,Pending,66
INV00011,SUP046,2023-01-11,1885,2023-02-17,2023-02-19,1885,Net 60,Pending,39
INV00378,SUP049,2024-01-13,7227,2024-03-09,2024-03-11,7227,Net 60,Paid,58
INV00960,SUP093,2025-08-17,6571,2025-09-27,2025-09-27,6571,Net 60,Paid,41
INV00604,SUP081,2024-08-26,3784,2024-10-09,2024-10-11,3784,Net 45,Paid,46
INV00186,SUP077,2023-07-05,5372,2023-08-26,2023-09-04,5372,Net 30,Paid,61
INV00501,SUP062,2024-05-15,4692,2024-06-22,2024-06-25,4692,Net 45,Paid,41
INV00210,SUP016,2023-07-29,7298,2023-09-13,2023-09-21,7298,Net 30,Paid,54
INV00942,SUP003,2025-07-30,5942,2025-09-08,2025-09-11,5942,Net 30,Paid,43
INV00807,SUP002,2025-03-17,7841,2025-05-12,2025-05-12,7841,Net 60,Paid,56
INV00259,SUP028,2023-09-16,3069,2023-10-17,2023-10-24,3069,Net 45,Pending,38
INV00274,SUP075,2023-10-01,9346,2023-11-01,2023-11-08,9346,Net 30,Paid,38
INV00172,SUP096,2023-06-21,1491,2023-07-24,2023-07-26,1491,Net 60,Paid,35
INV00373,SUP095,2024-01-08,5422,2024-03-02,2024-03-10,5422,Net 60,Pending,62
INV00869,SUP054,2025-05-18,4434,2025-07-14,2025-07-21,4434,Net 30,Pending,64
INV00932,SUP092,2025-07-20,2197,2025-08-26,2025-09-02,2197,Net 60,Pending,44
INV00271,SUP038,2023-09-28,4696,2023-11-26,2023-12-05,4696,Net 30,Pending,68
INV00117,SUP076,2023-04-27,9262,2023-06-23,2023-06-29,9262,Net 60,Paid,63
INV00637,SUP062,2024-09-28,3524,2024-11-02,2024-11-03,3524,Net 30,Paid,36
INV00235,SUP080,2023-08-23,2249,2023-09-27,2023-10-06,2249,Net 45,Pending,44
INV00953,SUP057,2025-08-10,5573,2025-09-18,2025-09-27,5573,Net 60,Paid,48
INV00609,SUP052,2024-08-31,8862,2024-10-15,2024-10-20,8862,Net 45,Pending,50
INV00626,SUP080,2024-09-17,3975,2024-11-04,2024-11-12,3975,Net 60,Paid,56
INV00939,SUP096,2025-07-27,8335,2025-09-09,2025-09-13,8335,Net 45,Paid,48
INV00941,SUP031,2025-07-29,7867,2025-09-03,2025-09-12,7867,Net 45,Paid,45
INV00546,SUP031,2024-06-29,6513,2024-08-21,2024-08-22,6513,Net 45,Pending,54
INV00990,SUP004,2025-09-16,3377,2025-11-03,2025-11-09,3377,Net 45,Paid,54
INV00155,SUP004,2023-06-04,6064,2023-07-08,2023-07-16,6064,Net 30,Paid,42
INV00350,SUP016,2023-12-16,6855,2024-02-10,2024-02-12,6855,Net 60,Paid,58
INV00740,SUP044,2025-01-09,7550,2025-02-08,2025-02-17,7550,Net 60,Paid,39
INV00719,SUP025,2024-12-19,7930,2025-02-08,2025-02-13,7930,Net 30,Pending,56
INV00229,SUP032,2023-08-17,5734,2023-10-14,2023-10-15,5734,Net 60,Pending,59
INV00033,SUP045,2023-02-02,2099,2023-03-30,2023-04-01,2099,Net 45,Pending,58
INV00249,SUP043,2023-09-06,9837,2023-10-28,2023-11-06,9837,Net 45,Pending,61
INV00453,SUP055,2024-03-28,5736,2024-05-23,2024-05-23,5736,Net 45,Paid,56
INV00357,SUP056,2023-12-23,6119,2024-02-07,2024-02-13,6119,Net 30,Pending,52
INV00254,SUP087,2023-09-11,298,2023-11-06,2023-11-09,298,Net 30,Paid,59
INV00095,SUP021,2023-04-05,6936,2023-05-19,2023-05-19,6936,Net 60,Pending,44
INV00402,SUP072,2024-02-06,712,2024-03-24,2024-03-24,712,Net 45,Pending,47
INV00101,SUP042,2023-04-11,6478,2023-05-28,2023-06-01,6478,Net 30,Pending,51
INV00019,SUP008,2023-01-19,4755,2023-03-09,2023-03-10,4755,Net 30,Pending,50
INV00594,SUP096,2024-08-16,2052,2024-09-23,2024-09-23,2052,Net 30,Pending,38
INV00152,SUP053,2023-06-01,7592,2023-07-16,2023-07-18,7592,Net 30,Paid,47
INV00716,SUP031,2024-12-16,4837,2025-02-05,2025-02-14,4837,Net 45,Pending,60
INV00044,SUP064,2023-02-13,2812,2023-04-08,2023-04-16,2812,Net 60,Pending,62
INV00070,SUP058,2023-03-11,8069,2023-04-17,2023-04-25,8069,Net 60,Pending,45
INV00390,SUP034,2024-01-25,5377,2024-03-15,2024-03-18,5377,Net 30,Paid,53
INV00732,SUP067,2025-01-01,5769,2025-02-26,2025-03-07,5769,Net 45,Pending,65
INV00623,SUP099,2024-09-14,739,2024-10-26,2024-10-29,739,Net 30,Pending,45
INV00518,SUP059,2024-06-01,7392,2024-07-14,2024-07-18,7392,Net 60,Paid,47
INV00346,SUP030,2023-12-12,3150,2024-01-29,2024-02-05,3150,Net 30,Paid,55
INV00383,SUP029,2024-01-18,6999,2024-03-02,2024-03-06,6999,Net 30,Pending,48
INV00257,SUP098,2023-09-14,5173,2023-11-09,2023-11-14,5173,Net 30,Paid,61
INV00922,SUP013,2025-07-10,6765,2025-08-11,2025-08-12,6765,Net 30,Pending,33
INV00255,SUP024,2023-09-12,2400,2023-11-05,2023-11-10,2400,Net 30,Paid,59
INV00696,SUP056,2024-11-26,4919,2025-01-24,2025-01-31,4919,Net 30,Pending,66
INV00882,SUP034,2025-05-31,8712,2025-07-14,2025-07-18,8712,Net 60,Pending,48
INV00018,SUP096,2023-01-18,1384,2023-02-26,2023-02-27,1384,Net 45,Pending,40
INV00836,SUP055,2025-04-15,7186,2025-05-21,2025-05-26,7186,Net 60,Paid,41
INV00222,SUP038,2023-08-10,6894,2023-09-30,2023-10-08,6894,Net 30,Pending,59
INV00268,SUP004,2023-09-25,9919,2023-11-19,2023-11-27,9919,Net 30,Pending,63
INV00762,SUP049,2025-01-31,723,2025-03-30,2025-04-02,723,Net 60,Paid,61
INV00066,SUP025,2023-03-07,1195,2023-04-27,2023-04-29,1195,Net 45,Paid,53
INV00203,SUP061,2023-07-22,6487,2023-09-06,2023-09-10,6487,Net 30,Pending,50
INV00991,SUP063,2025-09-17,8995,2025-10-19,2025-10-21,8995,Net 45,Pending,34
INV00158,SUP070,2023-06-07,9101,2023-07-20,2023-07-21,9101,Net 45,Paid,44
INV00747,SUP084,2025-01-16,2087,2025-03-09,2025-03-13,2087,Net 45,Pending,56
INV00651,SUP040,2024-10-12,8615,2024-12-05,2024-12-08,8615,Net 45,Paid,57
INV00944,SUP024,2025-08-01,5608,2025-09-15,2025-09-20,5608,Net 60,Paid,50
INV00432,SUP031,2024-03-07,7105,2024-04-20,2024-04-29,7105,Net 45,Pending,53
INV00430,SUP022,2024-03-05,3049,2024-04-15,2024-04-17,3049,Net 60,Pending,43
INV00913,SUP024,2025-07-01,277,2025-08-14,2025-08-14,277,Net 30,Pending,44
INV00765,SUP062,2025-02-03,7440,2025-03-06,2025-03-13,7440,Net 60,Pending,38
INV00890,SUP059,2025-06-08,1804,2025-07-15,2025-07-17,1804,Net 45,Pending,39
INV00617,SUP057,2024-09-08,4668,2024-11-04,2024-11-12,4668,Net 45,Paid,65
INV00492,SUP048,2024-05-06,3640,2024-06-22,2024-06-28,3640,Net 45,Pending,53
INV00031,SUP066,2023-01-31,3205,2023-03-08,2023-03-12,3205,Net 30,Paid,40
INV00792,SUP052,2025-03-02,1731,2025-04-26,2025-04-29,1731,Net 30,Paid,58
INV00706,SUP072,2024-12-06,6441,2025-02-02,2025-02-10,6441,Net 45,Paid,66
INV00993,SUP081,2025-09-19,5309,2025-11-16,2025-11-17,5309,Net 60,Paid,59
INV00641,SUP062,2024-10-02,5004,2024-11-08,2024-11-09,5004,Net 30,Pending,38
INV00998,SUP086,2025-09-24,1992,2025-11-04,2025-11-10,1992,Net 30,Paid,47
INV00413,SUP010,2024-02-17,8330,2024-03-27,2024-03-30,8330,Net 45,Paid,42
INV00748,SUP012,2025-01-17,3466,2025-03-13,2025-03-22,3466,Net 30,Pending,64
INV00931,SUP080,2025-07-19,4233,2025-08-29,2025-09-05,4233,Net 60,Paid,48
INV00377,SUP012,2024-01-12,9383,2024-02-25,2024-02-28,9383,Net 30,Pending,47
INV00731,SUP005,2024-12-31,8141,2025-02-02,2025-02-06,8141,Net 45,Paid,37
INV00032,SUP077,2023-02-01,4858,2023-03-20,2023-03-20,4858,Net 45,Paid,47
INV00970,SUP056,2025-08-27,2874,2025-10-08,2025-10-10,2874,Net 60,Paid,44
INV00961,SUP039,2025-08-18,6559,2025-09-29,2025-10-08,6559,Net 60,Pending,51
INV00667,SUP066,2024-10-28,1660,2024-12-06,2024-12-13,1660,Net 60,Paid,46
INV00978,SUP040,2025-09-04,8754,2025-10-21,2025-10-24,8754,Net 30,Pending,50
INV00434,SUP092,2024-03-09,9407,2024-04-24,2024-04-26,9407,Net 30,Pending,48
INV00292,SUP054,2023-10-19,4842,2023-11-24,2023-11-30,4842,Net 60,Pending,42
INV00536,SUP006,2024-06-19,7001,2024-08-01,2024-08-04,7001,Net 45,Pending,46
INV00704,SUP063,2024-12-04,7149,2025-02-01,2025-02-10,7149,Net 30,Paid,68
INV00888,SUP006,2025-06-06,9510,2025-07-06,2025-07-06,9510,Net 45,Paid,30
INV00811,SUP030,2025-03-21,3796,2025-05-14,2025-05-23,3796,Net 60,Paid,63
INV00635,SUP072,2024-09-26,1781,2024-11-07,2024-11-12,1781,Net 30,Pending,47
INV00798,SUP053,2025-03-08,2106,2025-04-09,2025-04-13,2106,Net 60,Pending,36
INV00457,SUP009,2024-04-01,4580,2024-05-18,2024-05-20,4580,Net 45,Pending,49
INV00178,SUP050,2023-06-27,898,2023-08-10,2023-08-12,898,Net 30,Pending,46
INV00803,SUP093,2025-03-13,1262,2025-04-29,2025-05-01,1262,Net 30,Paid,49
INV00870,SUP027,2025-05-19,7188,2025-06-23,2025-06-26,7188,Net 45,Paid,38
INV00502,SUP013,2024-05-16,898,2024-06-29,2024-07-02,898,Net 30,Paid,47
INV00552,SUP041,2024-07-05,5741,2024-08-26,2024-08-29,5741,Net 30,Paid,55
INV00218,SUP030,2023-08-06,8880,2023-09-17,2023-09-21,8880,Net 60,Pending,46
INV00573,SUP058,2024-07-26,5049,2024-09-22,2024-09-29,5049,Net 30,Pending,65
INV00132,SUP096,2023-05-12,6219,2023-07-07,2023-07-11,6219,Net 60,Pending,60
INV00849,SUP099,2025-04-28,8395,2025-06-17,2025-06-24,8395,Net 45,Paid,57
INV00777,SUP047,2025-02-15,838,2025-04-13,2025-04-16,838,Net 30,Paid,60
INV00418,SUP013,2024-02-22,7453,2024-03-25,2024-03-31,7453,Net 60,Pending,38
INV00746,SUP050,2025-01-15,8672,2025-03-11,2025-03-17,8672,Net 45,Pending,61
INV00614,SUP052,2024-09-05,8749,2024-11-01,2024-11-08,8749,Net 45,Paid,64
INV00236,SUP069,2023-08-24,5623,2023-10-10,2023-10-13,5623,Net 60,Paid,50
INV00001,SUP029,2023-01-01,7470,2023-02-25,2023-03-01,7470,Net 60,Pending,59
INV00161,SUP084,2023-06-10,4613,2023-07-27,2023-07-27,4613,Net 30,Pending,47
INV00308,SUP046,2023-11-04,9531,2023-12-23,2023-12-31,9531,Net 30,Pending,57
INV00605,SUP040,2024-08-27,9788,2024-10-01,2024-10-03,9788,Net 30,Pending,37
INV00230,SUP055,2023-08-18,4261,2023-09-29,2023-10-02,4261,Net 45,Paid,45
INV00774,SUP088,2025-02-12,1476,2025-04-12,2025-04-21,1476,Net 45,Paid,68
INV00891,SUP064,2025-06-09,435,2025-07-26,2025-08-03,435,Net 30,Paid,55
INV00496,SUP039,2024-05-10,5168,2024-06-24,2024-06-30,5168,Net 60,Pending,51
INV00391,SUP020,2024-01-26,9761,2024-03-17,2024-03-22,9761,Net 45,Paid,56
INV00595,SUP093,2024-08-17,5110,2024-09-30,2024-10-04,5110,Net 30,Paid,48
INV00979,SUP096,2025-09-05,2643,2025-10-10,2025-10-14,2643,Net 45,Pending,39
INV00330,SUP037,2023-11-26,354,2024-01-05,2024-01-12,354,Net 30,Pending,47
INV00169,SUP022,2023-06-18,5432,2023-08-02,2023-08-07,5432,Net 30,Pending,50
INV00815,SUP039,2025-03-25,8458,2025-05-01,2025-05-05,8458,Net 30,Pending,41
INV00752,SUP048,2025-01-21,6977,2025-03-20,2025-03-23,6977,Net 45,Paid,61
INV00655,SUP086,2024-10-16,7170,2024-12-11,2024-12-18,7170,Net 60,Paid,63
INV00087,SUP006,2023-03-28,8206,2023-05-26,2023-05-31,8206,Net 30,Pending,64
INV00320,SUP094,2023-11-16,769,2024-01-10,2024-01-10,769,Net 45,Paid,55
INV00422,SUP086,2024-02-26,2341,2024-03-28,2024-04-02,2341,Net 60,Pending,36
INV00506,SUP077,2024-05-20,8282,2024-06-22,2024-06-23,8282,Net 30,Pending,34
INV00244,SUP019,2023-09-01,4699,2023-10-05,2023-10-14,4699,Net 30,Paid,43
INV00734,SUP027,2025-01-03,6469,2025-02-21,2025-02-24,6469,Net 60,Paid,52
INV00767,SUP038,2025-02-05,6390,2025-03-20,2025-03-21,6390,Net 30,Paid,44
INV00507,SUP060,2024-05-21,4371,2024-07-01,2024-07-05,4371,Net 45,Pending,45
INV00358,SUP048,2023-12-24,1053,2024-02-06,2024-02-07,1053,Net 30,Paid,45
INV00217,SUP075,2023-08-05,2043,2023-09-05,2023-09-06,2043,Net 30,Paid,32
INV00079,SUP064,2023-03-20,5059,2023-05-12,2023-05-20,5059,Net 30,Pending,61
INV00093,SUP095,2023-04-03,5458,2023-05-16,2023-05-19,5458,Net 45,Pending,46
INV00500,SUP096,2024-05-14,1565,2024-06-27,2024-07-03,1565,Net 45,Pending,50
INV00414,SUP039,2024-02-18,3347,2024-03-25,2024-03-31,3347,Net 30,Paid,42
INV00273,SUP014,2023-09-30,4755,2023-11-12,2023-11-21,4755,Net 60,Paid,52
INV00545,SUP059,2024-06-28,1391,2024-07-30,2024-08-02,1391,Net 60,Pending,35
INV00951,SUP008,2025-08-08,1150,2025-09-15,2025-09-22,1150,Net 60,Pending,45
INV00712,SUP009,2024-12-12,4461,2025-01-14,2025-01-22,4461,Net 45,Paid,41
INV00467,SUP015,2024-04-11,9008,2024-06-09,2024-06-17,9008,Net 30,Pending,67
INV00621,SUP001,2024-09-12,2945,2024-10-29,2024-10-29,2945,Net 60,Paid,47
INV00313,SUP033,2023-11-09,1384,2023-12-25,2023-12-29,1384,Net 60,Pending,50
INV00832,SUP052,2025-04-11,1933,2025-05-25,2025-06-02,1933,Net 45,Paid,52
INV00540,SUP010,2024-06-23,1153,2024-08-16,2024-08-20,1153,Net 30,Pending,58
INV00498,SUP059,2024-05-12,8987,2024-07-01,2024-07-01,8987,Net 60,Paid,50
INV00429,SUP087,2024-03-04,6865,2024-04-25,2024-04-26,6865,Net 60,Paid,53
INV00215,SUP021,2023-08-03,3111,2023-09-10,2023-09-16,3111,Net 60,Paid,44
INV00438,SUP069,2024-03-13,8727,2024-05-06,2024-05-10,8727,Net 45,Pending,58
INV00770,SUP079,2025-02-08,3078,2025-03-20,2025-03-20,3078,Net 45,Pending,40
INV00574,SUP072,2024-07-27,9635,2024-09-09,2024-09-14,9635,Net 60,Paid,49
INV00366,SUP084,2024-01-01,4977,2024-02-16,2024-02-21,4977,Net 45,Pending,51
INV00007,SUP015,2023-01-07,666,2023-02-06,2023-02-09,666,Net 60,Pending,33
INV00305,SUP047,2023-11-01,3370,2023-12-26,2024-01-01,3370,Net 60,Paid,61
INV00668,SUP063,2024-10-29,7390,2024-12-08,2024-12-14,7390,Net 45,Paid,46
INV00075,SUP058,2023-03-16,8729,2023-05-14,2023-05-14,8729,Net 45,Paid,59
INV00260,SUP069,2023-09-17,1156,2023-10-28,2023-11-06,1156,Net 60,Paid,50
INV00828,SUP085,2025-04-07,1076,2025-06-01,2025-06-02,1076,Net 30,Pending,56
INV00118,SUP010,2023-04-28,7138,2023-05-28,2023-06-02,7138,Net 60,Paid,35
INV00848,SUP038,2025-04-27,8859,2025-06-17,2025-06-23,8859,Net 45,Pending,57
INV00269,SUP042,2023-09-26,6215,2023-11-15,2023-11-24,6215,Net 45,Paid,59
INV00046,SUP059,2023-02-15,9755,2023-04-05,2023-04-12,9755,Net 60,Paid,56
INV00735,SUP080,2025-01-04,4018,2025-03-03,2025-03-06,4018,Net 60,Pending,61
INV00324,SUP056,2023-11-20,4063,2023-12-28,2023-12-31,4063,Net 30,Pending,41
INV00657,SUP037,2024-10-18,4984,2024-12-14,2024-12-16,4984,Net 60,Pending,59
INV00359,SUP027,2023-12-25,4346,2024-02-04,2024-02-09,4346,Net 60,Paid,46
INV00267,SUP050,2023-09-24,4187,2023-11-09,2023-11-18,4187,Net 45,Pending,55
INV00908,SUP100,2025-06-26,7141,2025-08-01,2025-08-10,7141,Net 30,Pending,45
INV00886,SUP090,2025-06-04,2194,2025-07-31,2025-08-04,2194,Net 60,Paid,61
INV00592,SUP030,2024-08-14,3827,2024-09-24,2024-09-26,3827,Net 30,Paid,43
INV00443,SUP099,2024-03-18,1887,2024-04-29,2024-04-30,1887,Net 30,Pending,43
INV00328,SUP077,2023-11-24,3209,2024-01-17,2024-01-23,3209,Net 45,Paid,60
INV00232,SUP058,2023-08-20,6487,2023-10-11,2023-10-14,6487,Net 60,Paid,55
INV00220,SUP035,2023-08-08,2159,2023-09-13,2023-09-19,2159,Net 30,Paid,42
INV00369,SUP095,2024-01-04,3324,2024-02-24,2024-02-28,3324,Net 45,Paid,55
INV00935,SUP004,2025-07-23,2170,2025-09-18,2025-09-20,2170,Net 30,Paid,59
INV00275,SUP032,2023-10-02,8250,2023-11-28,2023-12-05,8250,Net 30,Paid,64
INV00883,SUP026,2025-06-01,1542,2025-07-16,2025-07-18,1542,Net 45,Pending,47
INV00943,SUP008,2025-07-31,5988,2025-09-18,2025-09-21,5988,Net 45,Pending,52
INV00411,SUP056,2024-02-15,780,2024-04-02,2024-04-02,780,Net 60,Pending,47
INV00042,SUP054,2023-02-11,8633,2023-04-03,2023-04-07,8633,Net 45,Paid,55
INV00439,SUP064,2024-03-14,6078,2024-04-25,2024-04-27,6078,Net 45,Pending,44
INV00207,SUP035,2023-07-26,2711,2023-09-20,2023-09-25,2711,Net 30,Paid,61
INV00707,SUP088,2024-12-07,8217,2025-01-27,2025-02-05,8217,Net 60,Pending,60
INV00551,SUP089,2024-07-04,6372,2024-08-17,2024-08-25,6372,Net 30,Pending,52
